Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Morning Doji Star|APEI|SERVICES-EDUCATIONAL SERVICES||10/13/2014|Close|26.9800|11/7/2014|High|35.8500|5/12/2015|Low|21.3000|Up|19|25
Morning Doji Star|BERY|PLASTICS PRODUCTS, NEC||8/13/2015|Close|31.5900|5/10/2016|High|38.0000||||Up|193|271
Morning Doji Star|BNDX|||11/15/2016|Close|54.5300|||||||||
Morning Doji Star|CpN|NATIONAL COMMERCIAL BANKS||9/30/2014|Close|26.9200|||||||||
Morning Doji Star|FDP|||7/28/2015|Close|40.0800|5/5/2016|High|48.3200||||Up|202|282
Morning Doji Star|FEMS|||11/7/2016|Close|32.1600|||||||||
Morning Doji Star|FTLS|||5/20/2016|Close|31.2800|||||||||
Morning Doji Star|IAT|||12/17/2014|Close|34.1800|11/14/2016|High|42.4100|8/24/2015|Low|26.8900|Down|178|250
Morning Doji Star|MC|INVESTMENT ADVICE||7/30/2015|Close|29.3900||||1/20/2016|Low|22.9100|Down|124|174
Morning Doji Star|MLAB|INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL||12/8/2015|Close|107.0900|6/7/2016|High|130.5900|1/8/2016|Low|84.1200|Down|23|31
Morning Doji Star|PCY|||10/1/2014|Close|28.5600|||||||||
Morning Doji Star|PIZ|||9/30/2015|Close|22.4600|||||||||
Morning Doji Star|QGEN|||6/10/2015|Close|24.9700||||6/27/2016|Low|19.9400|Down|273|383
Morning Doji Star|SPH|RETAIL-MISCELLANEOUS RETAIL||8/7/2015|Close|37.0100||||12/1/2015|Low|28.6814|Down|82|116
Morning Doji Star|TECH|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||10/31/2016|Close|103.9900|||||||||
Morning Doji Star|TVE|ELECTRIC SERVICES||9/2/2016|Close|25.6200|||||||||
Morning Doji Star|URTH|||11/7/2016|Close|71.2300|||||||||
Morning Doji Star|UYG|||11/7/2016|Close|73.3000|12/1/2016|High|87.9700||||Up|18|24
