Id,Signal Name,Result Direction,Count,Percentage,Description
005e3f2d,Bullish Engulfing,Down,2644,0.41789157578631264,move: 0.2;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
005e3f2d,Bullish Engulfing,Up,3131,0.4948632843369685,move: 0.2;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
005e3f2d,Bullish Engulfing,,552,0.08724513987671882,move: 0.2;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
01025e4a,Bullish Engulfing,Down,11402,0.419777630513217,move: 0.2;prologue len: 15;trend desc: E50C;vol factor: 1;use market: False
01025e4a,Bullish Engulfing,Up,13982,0.5147632722185406,move: 0.2;prologue len: 15;trend desc: E50C;vol factor: 1;use market: False
01025e4a,Bullish Engulfing,,1778,0.0654590972682424,move: 0.2;prologue len: 15;trend desc: E50C;vol factor: 1;use market: False
07f19f03,Bullish Engulfing,Down,5415,0.45450730233338926,move: 0.1;prologue len: 30;trend desc: E21C;vol factor: 1.5;use market: True
07f19f03,Bullish Engulfing,Up,6225,0.5224945442336747,move: 0.1;prologue len: 30;trend desc: E21C;vol factor: 1.5;use market: True
07f19f03,Bullish Engulfing,,274,0.02299815343293604,move: 0.1;prologue len: 30;trend desc: E21C;vol factor: 1.5;use market: True
0b7577ca,Bullish Engulfing,Down,11544,0.4192482295260577,move: 0.2;prologue len: 15;trend desc: E21C;vol factor: 1;use market: False
0b7577ca,Bullish Engulfing,Up,14194,0.5154893771563465,move: 0.2;prologue len: 15;trend desc: E21C;vol factor: 1;use market: False
0b7577ca,Bullish Engulfing,,1797,0.06526239331759578,move: 0.2;prologue len: 15;trend desc: E21C;vol factor: 1;use market: False
0c779816,Bullish Engulfing,Down,2268,0.45790430042398544,move: 0.1;prologue len: 15;trend desc: E200C;vol factor: 2;use market: True
0c779816,Bullish Engulfing,Up,2533,0.511407227942661,move: 0.1;prologue len: 15;trend desc: E200C;vol factor: 2;use market: True
0c779816,Bullish Engulfing,,152,0.030688471633353524,move: 0.1;prologue len: 15;trend desc: E200C;vol factor: 2;use market: True
0c88c0e5,Bullish Engulfing,Down,8828,0.42794124775801057,move: 0.2;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
0c88c0e5,Bullish Engulfing,Up,10331,0.500799844878569,move: 0.2;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
0c88c0e5,Bullish Engulfing,,1470,0.07125890736342043,move: 0.2;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
0d309433,Bullish Engulfing,Down,2645,0.41791752251540526,move: 0.2;prologue len: 15;trend desc: E21C;vol factor: 2;use market: True
0d309433,Bullish Engulfing,Up,3132,0.49486490756833623,move: 0.2;prologue len: 15;trend desc: E21C;vol factor: 2;use market: True
0d309433,Bullish Engulfing,,552,0.0872175699162585,move: 0.2;prologue len: 15;trend desc: E21C;vol factor: 2;use market: True
0f5bcd6d,Bullish Engulfing,Down,4275,0.45619464304770035,move: 0.1;prologue len: 30;trend desc: E200C;vol factor: 1.5;use market: False
0f5bcd6d,Bullish Engulfing,Up,4854,0.5179810052288977,move: 0.1;prologue len: 30;trend desc: E200C;vol factor: 1.5;use market: False
0f5bcd6d,Bullish Engulfing,,242,0.025824351723401986,move: 0.1;prologue len: 30;trend desc: E200C;vol factor: 1.5;use market: False
11951e87,Bullish Engulfing,Down,11397,0.4197171687412536,move: 0.2;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
11951e87,Bullish Engulfing,Up,13980,0.5148412756868233,move: 0.2;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
11951e87,Bullish Engulfing,,1777,0.0654415555719231,move: 0.2;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
1413700e,Bullish Engulfing,Down,9123,0.42511649580615096,move: 0.2;prologue len: 30;trend desc: E200C;vol factor: 1;use market: True
1413700e,Bullish Engulfing,Up,10801,0.5033084808946878,move: 0.2;prologue len: 30;trend desc: E200C;vol factor: 1;use market: True
1413700e,Bullish Engulfing,,1536,0.07157502329916123,move: 0.2;prologue len: 30;trend desc: E200C;vol factor: 1;use market: True
15bb48bb,Bullish Engulfing,Down,12366,0.45540251896589823,move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
15bb48bb,Bullish Engulfing,Up,14273,0.5256315828238933,move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
15bb48bb,Bullish Engulfing,,515,0.01896589821020844,move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
173f5d81,Bullish Engulfing,Down,2081,0.4201494044013729,move: 0.2;prologue len: 15;trend desc: E200C;vol factor: 2;use market: True
173f5d81,Bullish Engulfing,Up,2402,0.4849586109428629,move: 0.2;prologue len: 15;trend desc: E200C;vol factor: 2;use market: True
173f5d81,Bullish Engulfing,,470,0.09489198465576418,move: 0.2;prologue len: 15;trend desc: E200C;vol factor: 2;use market: True
175194eb,Bullish Engulfing,Down,2894,0.4574047731942469,move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
175194eb,Bullish Engulfing,Up,3260,0.5152520941994626,move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
175194eb,Bullish Engulfing,,173,0.0273431326062905,move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
18bfbbba,Bullish Engulfing,Down,5415,0.45450730233338926,move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 1.5;use market: True
18bfbbba,Bullish Engulfing,Up,6225,0.5224945442336747,move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 1.5;use market: True
18bfbbba,Bullish Engulfing,,274,0.02299815343293604,move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 1.5;use market: True
18c91441,Bullish Engulfing,Down,5415,0.45450730233338926,move: 0.1;prologue len: 30;trend desc: E21C;vol factor: 1.5;use market: False
18c91441,Bullish Engulfing,Up,6225,0.5224945442336747,move: 0.1;prologue len: 30;trend desc: E21C;vol factor: 1.5;use market: False
18c91441,Bullish Engulfing,,274,0.02299815343293604,move: 0.1;prologue len: 30;trend desc: E21C;vol factor: 1.5;use market: False
20a64e59,Bullish Engulfing,Down,12385,0.4559678963257492,move: 0.1;prologue len: 30;trend desc: E50C;vol factor: 1;use market: True
20a64e59,Bullish Engulfing,Up,14261,0.5250349753331861,move: 0.1;prologue len: 30;trend desc: E50C;vol factor: 1;use market: True
20a64e59,Bullish Engulfing,,516,0.018997128341064724,move: 0.1;prologue len: 30;trend desc: E50C;vol factor: 1;use market: True
20b4db1b,Bullish Engulfing,Down,5353,0.45584603593630246,move: 0.1;prologue len: 30;trend desc: E50C;vol factor: 1.5;use market: False
20b4db1b,Bullish Engulfing,Up,6118,0.5209912288171676,move: 0.1;prologue len: 30;trend desc: E50C;vol factor: 1.5;use market: False
20b4db1b,Bullish Engulfing,,272,0.02316273524652985,move: 0.1;prologue len: 30;trend desc: E50C;vol factor: 1.5;use market: False
23455206,Bullish Engulfing,Down,3869,0.42884061183773,move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
23455206,Bullish Engulfing,Up,4410,0.48880514298381733,move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
23455206,Bullish Engulfing,,743,0.08235424517845268,move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
23c789fb,Bullish Engulfing,Down,12527,0.45494824768476483,move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 1;use market: True
23c789fb,Bullish Engulfing,Up,14484,0.5260214272743781,move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 1;use market: True
23c789fb,Bullish Engulfing,,524,0.01903032504085709,move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 1;use market: True
23dedde8,Bullish Engulfing,Down,2205,0.4619736015084852,move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
23dedde8,Bullish Engulfing,Up,2422,0.5074376702283679,move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
23dedde8,Bullish Engulfing,,146,0.030588728263146868,move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
247285d9,Bullish Engulfing,Down,4980,0.42422693585484283,move: 0.2;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
247285d9,Bullish Engulfing,Up,5872,0.5002129653292444,move: 0.2;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
247285d9,Bullish Engulfing,,887,0.07556009881591277,move: 0.2;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
259df913,Bullish Engulfing,Down,5353,0.45584603593630246,move: 0.1;prologue len: 15;trend desc: E50C;vol factor: 1.5;use market: True
259df913,Bullish Engulfing,Up,6118,0.5209912288171676,move: 0.1;prologue len: 15;trend desc: E50C;vol factor: 1.5;use market: True
259df913,Bullish Engulfing,,272,0.02316273524652985,move: 0.1;prologue len: 15;trend desc: E50C;vol factor: 1.5;use market: True
25b0e9bd,Bullish Engulfing,Down,2017,0.4225853760737482,move: 0.2;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
25b0e9bd,Bullish Engulfing,Up,2309,0.4837628326000419,move: 0.2;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
25b0e9bd,Bullish Engulfing,,447,0.09365179132620993,move: 0.2;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
286c5f62,Bullish Engulfing,Down,4980,0.42422693585484283,move: 0.2;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
286c5f62,Bullish Engulfing,Up,5872,0.5002129653292444,move: 0.2;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
286c5f62,Bullish Engulfing,,887,0.07556009881591277,move: 0.2;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
28d58deb,Bullish Engulfing,Down,4143,0.4592108180004434,move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
28d58deb,Bullish Engulfing,Up,4646,0.5149634227444025,move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
28d58deb,Bullish Engulfing,,233,0.025825759255154068,move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
2a207517,Bullish Engulfing,Down,2205,0.4619736015084852,move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
2a207517,Bullish Engulfing,Up,2422,0.5074376702283679,move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
2a207517,Bullish Engulfing,,146,0.030588728263146868,move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
2a3ec00a,Bullish Engulfing,Down,9810,0.4571295433364399,move: 0.1;prologue len: 30;trend desc: E200C;vol factor: 1;use market: False
2a3ec00a,Bullish Engulfing,Up,11191,0.5214818266542405,move: 0.1;prologue len: 30;trend desc: E200C;vol factor: 1;use market: False
2a3ec00a,Bullish Engulfing,,459,0.021388630009319665,move: 0.1;prologue len: 30;trend desc: E200C;vol factor: 1;use market: False
2b41c7ce,Bullish Engulfing,Down,2017,0.4225853760737482,move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
2b41c7ce,Bullish Engulfing,Up,2309,0.4837628326000419,move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
2b41c7ce,Bullish Engulfing,,447,0.09365179132620993,move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
2b733c06,Bullish Engulfing,Down,2617,0.4192566485100929,move: 0.2;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
2b733c06,Bullish Engulfing,Up,3080,0.4934315924383211,move: 0.2;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
2b733c06,Bullish Engulfing,,545,0.08731175905158603,move: 0.2;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
2d3e8d5e,Bullish Engulfing,Down,5352,0.4559161768464094,move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
2d3e8d5e,Bullish Engulfing,Up,6117,0.5210835675951955,move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
2d3e8d5e,Bullish Engulfing,,270,0.023000255558395095,move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
2dcf689a,Bullish Engulfing,Down,2864,0.45882729894264657,move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: False
2dcf689a,Bullish Engulfing,Up,3207,0.5137776353732778,move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: False
2dcf689a,Bullish Engulfing,,171,0.027395065684075615,move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: False
2f8ca06d,Bullish Engulfing,Down,11544,0.41935483870967744,move: 0.2;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
2f8ca06d,Bullish Engulfing,Up,14187,0.5153661726242371,move: 0.2;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
2f8ca06d,Bullish Engulfing,,1797,0.06527898866608545,move: 0.2;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
3055840b,Bullish Engulfing,Down,2894,0.4574047731942469,move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
3055840b,Bullish Engulfing,Up,3260,0.5152520941994626,move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
3055840b,Bullish Engulfing,,173,0.0273431326062905,move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
30d53cf6,Bullish Engulfing,Down,4980,0.42408243208720087,move: 0.2;prologue len: 30;trend desc: E50C;vol factor: 1.5;use market: False
30d53cf6,Bullish Engulfing,Up,5875,0.5002980499020693,move: 0.2;prologue len: 30;trend desc: E50C;vol factor: 1.5;use market: False
30d53cf6,Bullish Engulfing,,888,0.0756195180107298,move: 0.2;prologue len: 30;trend desc: E50C;vol factor: 1.5;use market: False
30fc0734,Bullish Engulfing,Down,2017,0.4225853760737482,move: 0.2;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
30fc0734,Bullish Engulfing,Up,2309,0.4837628326000419,move: 0.2;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
30fc0734,Bullish Engulfing,,447,0.09365179132620993,move: 0.2;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
32222fbe,Bullish Engulfing,Down,12385,0.4559678963257492,move: 0.1;prologue len: 15;trend desc: E50C;vol factor: 1;use market: False
32222fbe,Bullish Engulfing,Up,14261,0.5250349753331861,move: 0.1;prologue len: 15;trend desc: E50C;vol factor: 1;use market: False
32222fbe,Bullish Engulfing,,516,0.018997128341064724,move: 0.1;prologue len: 15;trend desc: E50C;vol factor: 1;use market: False
33d4c5d5,Bullish Engulfing,Down,5352,0.4559161768464094,move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
33d4c5d5,Bullish Engulfing,Up,6117,0.5210835675951955,move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
33d4c5d5,Bullish Engulfing,,270,0.023000255558395095,move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
38027bc4,Bullish Engulfing,Down,2644,0.41789157578631264,move: 0.2;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
38027bc4,Bullish Engulfing,Up,3131,0.4948632843369685,move: 0.2;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
38027bc4,Bullish Engulfing,,552,0.08724513987671882,move: 0.2;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
3c7e1240,Bullish Engulfing,Down,11544,0.4192482295260577,move: 0.2;prologue len: 15;trend desc: E21C;vol factor: 1;use market: True
3c7e1240,Bullish Engulfing,Up,14194,0.5154893771563465,move: 0.2;prologue len: 15;trend desc: E21C;vol factor: 1;use market: True
3c7e1240,Bullish Engulfing,,1797,0.06526239331759578,move: 0.2;prologue len: 15;trend desc: E21C;vol factor: 1;use market: True
3c8d54da,Bullish Engulfing,Down,4002,0.42706221321097,move: 0.2;prologue len: 30;trend desc: E200C;vol factor: 1.5;use market: True
3c8d54da,Bullish Engulfing,Up,4601,0.49098281933625015,move: 0.2;prologue len: 30;trend desc: E200C;vol factor: 1.5;use market: True
3c8d54da,Bullish Engulfing,,768,0.08195496745277986,move: 0.2;prologue len: 30;trend desc: E200C;vol factor: 1.5;use market: True
3cfddc33,Bullish Engulfing,Down,2645,0.41791752251540526,move: 0.2;prologue len: 30;trend desc: E21C;vol factor: 2;use market: False
3cfddc33,Bullish Engulfing,Up,3132,0.49486490756833623,move: 0.2;prologue len: 30;trend desc: E21C;vol factor: 2;use market: False
3cfddc33,Bullish Engulfing,,552,0.0872175699162585,move: 0.2;prologue len: 30;trend desc: E21C;vol factor: 2;use market: False
3ea7ff4c,Bullish Engulfing,Down,9483,0.45969266566484074,move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
3ea7ff4c,Bullish Engulfing,Up,10716,0.5194628920451791,move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
3ea7ff4c,Bullish Engulfing,,430,0.020844442289980124,move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
3f0da983,Bullish Engulfing,Down,3869,0.42884061183773,move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
3f0da983,Bullish Engulfing,Up,4410,0.48880514298381733,move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
3f0da983,Bullish Engulfing,,743,0.08235424517845268,move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
43948277,Bullish Engulfing,Down,4002,0.42706221321097,move: 0.2;prologue len: 30;trend desc: E200C;vol factor: 1.5;use market: False
43948277,Bullish Engulfing,Up,4601,0.49098281933625015,move: 0.2;prologue len: 30;trend desc: E200C;vol factor: 1.5;use market: False
43948277,Bullish Engulfing,,768,0.08195496745277986,move: 0.2;prologue len: 30;trend desc: E200C;vol factor: 1.5;use market: False
44fcb49b,Bullish Engulfing,Down,4002,0.42706221321097,move: 0.2;prologue len: 15;trend desc: E200C;vol factor: 1.5;use market: True
44fcb49b,Bullish Engulfing,Up,4601,0.49098281933625015,move: 0.2;prologue len: 15;trend desc: E200C;vol factor: 1.5;use market: True
44fcb49b,Bullish Engulfing,,768,0.08195496745277986,move: 0.2;prologue len: 15;trend desc: E200C;vol factor: 1.5;use market: True
4502175f,Bullish Engulfing,Down,2644,0.41789157578631264,move: 0.2;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
4502175f,Bullish Engulfing,Up,3131,0.4948632843369685,move: 0.2;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
4502175f,Bullish Engulfing,,552,0.08724513987671882,move: 0.2;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
4859b33f,Bullish Engulfing,Down,4143,0.4592108180004434,move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
4859b33f,Bullish Engulfing,Up,4646,0.5149634227444025,move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
4859b33f,Bullish Engulfing,,233,0.025825759255154068,move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
49491dad,Bullish Engulfing,Down,9483,0.45969266566484074,move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
49491dad,Bullish Engulfing,Up,10716,0.5194628920451791,move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
49491dad,Bullish Engulfing,,430,0.020844442289980124,move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
49baba01,Bullish Engulfing,Down,2268,0.45790430042398544,move: 0.1;prologue len: 30;trend desc: E200C;vol factor: 2;use market: True
49baba01,Bullish Engulfing,Up,2533,0.511407227942661,move: 0.1;prologue len: 30;trend desc: E200C;vol factor: 2;use market: True
49baba01,Bullish Engulfing,,152,0.030688471633353524,move: 0.1;prologue len: 30;trend desc: E200C;vol factor: 2;use market: True
4aef9816,Bullish Engulfing,Down,2896,0.4575762363722547,move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 2;use market: True
4aef9816,Bullish Engulfing,Up,3260,0.5150892716068889,move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 2;use market: True
4aef9816,Bullish Engulfing,,173,0.027334492020856374,move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 2;use market: True
4f7717e6,Bullish Engulfing,Down,2896,0.4575762363722547,move: 0.1;prologue len: 30;trend desc: E21C;vol factor: 2;use market: False
4f7717e6,Bullish Engulfing,Up,3260,0.5150892716068889,move: 0.1;prologue len: 30;trend desc: E21C;vol factor: 2;use market: False
4f7717e6,Bullish Engulfing,,173,0.027334492020856374,move: 0.1;prologue len: 30;trend desc: E21C;vol factor: 2;use market: False
